ReleaseYear,Genre,TotalGames,TotalEarnings,AdjustedTotal,OnlineEarnings,AdjustedOnline,TotalPlayers,TotalTournaments
2004,Multiplayer Online Battle Arena,1,0,1,0,1,0,0
2007,Multiplayer Online Battle Arena,1,0,1,0,1,0,0
2009,Strategy,1,0,1,0,1,0,0
2017,Multiplayer Online Battle Arena,1,12339.33,12339.33,0,1,35,1
2018,Multiplayer Online Battle Arena,1,100000,100000,0,1,8,1
2002,Racing,1,5933.5,5933.5,5933.5,5933.5,0,1
2008,Puzzle Game,1,12000,12000,12000,12000,3,1
2006,Strategy,1,69600,69600,69600,69600,8,1
2016,Role-Playing Game,1,54250,54250,0,1,56,2
2019,Multiplayer Online Battle Arena,1,50000,50000,0,1,64,2
2020,Third-Person Shooter,1,50000,50000,0,1,48,2
2000,Sports,1,46000,46000,46000,46000,9,2
2016,Racing,2,729.41,729.41,0,1,9,3
2020,Sports,1,60000,60000,0,1,34,3
2001,Racing,2,10929.25,10929.25,10929.25,10929.25,4,3
2009,Racing,2,21500,21500,21500,21500,6,3
2000,Strategy,1,148384.33,148384.33,148384.33,148384.33,19,3
2015,Third-Person Shooter,1,170000,170000,170000,170000,39,3
2019,Collectible Card Game,3,75000,75000,0,1,34,4
2020,Multiplayer Online Battle Arena,1,299000,299000,0,1,260,4
2011,Third-Person Shooter,1,7255.81,7255.81,4555.81,4555.81,13,4
2002,Sports,2,97066.44,97066.44,97066.44,97066.44,18,4
2006,Fighting Game,1,12180,12180,12180,12180,18,5
2015,Strategy,2,36400,36400,30400,30400,18,5
2008,Third-Person Shooter,1,135000,135000,135000,135000,0,5
2002,Fighting Game,3,50,50,0,1,14,6
2018,Battle Royale,2,190000,190000,0,1,21,6
2019,Puzzle Game,2,2667.3,2667.3,2256.8,2256.8,17,6
2013,Strategy,1,8561.22,8561.22,7956.22,7956.22,11,6
2003,Sports,3,66500,66500,66500,66500,14,6
2011,Puzzle Game,2,1735.95,1735.95,1470,1470,14,8
2020,Fighting Game,6,35701.52,35701.52,34628.66,34628.66,35,8
2020,Battle Royale,3,434273.83,434273.83,0,1,306,9
2003,Fighting Game,3,15040,15040,15040,15040,26,9
2007,Racing,3,279416.92,279416.92,279416.92,279416.92,34,9
2011,Strategy,1,3778.56,3778.56,0,1,17,10
2004,Sports,2,98278.65,98278.65,98278.65,98278.65,16,10
2019,Racing,4,748766.13,748766.13,548266.13,548266.13,67,10
2002,Collectible Card Game,1,1218000,1218000,1218000,1218000,130,10
2020,Puzzle Game,2,3032.61,3032.61,0,1,22,12
2003,Racing,3,81599.14,81599.14,79219.14,79219.14,29,12
